fwn,arg,pyr,leu,phe,lys,oli,crn,fitness,missing
1,0,1,1,1,1,1,0,0.0,1
1,0,1,1,1,1,0,1,0.67,0
1,0,1,1,1,0,1,1,0.545,0
1,0,1,1,0,1,1,1,0.0,1
1,0,1,0,1,1,1,1,0.479,0
1,0,0,1,1,1,1,1,0.475,0
0,1,1,1,1,1,1,0,0.0,1
0,1,1,1,1,1,0,1,0.79,0
0,1,1,1,1,0,1,1,0.47,0
0,1,1,1,0,1,1,1,0.0,1
0,1,1,0,1,1,1,1,0.0,1
0,1,0,1,1,1,1,1,0.514,0
0,0,1,1,1,1,1,1,0.0,1
0,1,1,1,1,1,1,1,0.0,1
1,0,1,1,1,1,1,1,0.0,1
1,1,0,1,1,1,1,1,0.456,0
1,1,1,0,1,1,1,1,0.643,0
1,1,1,1,0,1,1,1,0.446,0
1,1,1,1,1,0,1,1,0.448,0
1,1,1,1,1,1,0,1,0.0,1
1,1,1,1,1,1,1,0,0.0,1
1,1,1,1,1,1,1,1,0.0,1
